Название;Код товара;Цена;Напряжение аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Емкость аккумулятора;Режимы работы;Тип двигателя;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Дрель-шуруповерт аккумуляторная PATRIOT BR 147 Li [180301147];213577;4790.0;14.4;24.0;8;20;2.1;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Аккумуляторная дрель-шуруповерт MAKITA DHP 484 Z ударная без АКБ и З/У [DHP484Z];112141;13990.0;18.0;53.0;13;36;1.6;;Сверление/сверлениесударом;бесщеточный;профессиональный;500;2000;500;2000;1.5
Дрель-шуруповерт аккумуляторная MAKITA HP 347 DWE ударная [HP347DWE];105646;11370.0;14.4;15.0;13;25;1.5;1.1;Сверление/сверлениесударом;щеточный;профессиональный;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная MAKITA HP 488 DWAE [HP488DWAE];196637;17490.0;18.0;42.0;13;36;1.5;2.0;Сверление/заворачивание/сверлениесударом;щеточный;профессиональный;400;1400;400;1400;1.3
Аккумуляторный шуруповерт MAKITA DDF 458 Z без АКБ и З/У [DDF458Z];125699;12990.0;18.0;91.0;13;76;2.3;;Сверление;щеточный;профессиональный;400;2000;400;2000;1.3
Дрель-шуруповерт аккумуляторная ZITREK Green 12 [063-4071];169041;1159.0;12.0;32.0;10;25;1.13;1.5;Сверление;щеточный;бытовой;600;1400;600;1400;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD20FU-Li 1.5Ahx2 63 tools (063-4103) [063-4103];146553;4063.0;20.0;42.0;10;28;2.25;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Отвертка аккумуляторная ЗУБР PSD-4S;229867;4100.0;3.6;5.0;;;0.26;1.5;;;;;;;;
Дрель-шуруповерт аккумуляторная STANLEY SCI121S2K импульсный [SCI121S2K-RU];135338;8080.0;12.0;110.0;;;1.0;1.5;Заворачиваниешурупов;щеточный;бытовой;2500;;2500;;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДАУ-13/18 В ударная без АКБ и ЗУ [574.0.0.70];171021;7750.0;18.0;60.0;13;38;1.7;;Сверление/сверлениесударом;бесщеточный;профессиональный;450;2000;450;2000;1.5
Дрель-шуруповерт аккумуляторная MAKITA HP001GD201 ударная;184326;60418.0;40.0;140.0;20;76;2.7;2.5;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;650;2600;650;2600;1.5
Дрель-шуруповерт аккумуляторная ЗУБР DL-201-42;215154;17480.0;20.0;50.0;10;21;1.5;4.0;;;;;;;;
Отвертка аккумуляторная HOTO QWLSD001 с 12 битами в комплекте в кейсе, черная.;230066;2990.0;3.6;4.0;;;0.25;1.5;;;;;;;;
Аккумуляторная дрель-шуруповерт MAKITA DDF083Z бесщеточная, без АКБ и ЗУ;111545;9240.0;18.0;43.0;13;36;1.1;;Заворачиваниешурупов;бесщеточный;профессиональный;500;1700;500;1700;1.5
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-18Л-2КА [72/14/25];158775;3771.0;18.0;35.0;12;30;1.25;1.5;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ЗУБР ДШЛ-145-22;193589;6880.0;14.4;32.0;10;25;2.8;2.0;Сверление/заворачивание;;;400;1400;400;1400;2.0
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДАУ-13/18В 80 ударная (кейс, акб, зу) [786.4.1.70];260843;13790.0;18.0;80.0;13;65;1.325;4.0;;бесщеточный;профессиональный;500;1800;;;
Аккумуляторный шуруповерт DeWALT DCD716D2 ударная [DCD716D2-KS];112022;12899.0;10.8;28.0;10;19;1.1;2.0;Сверление;щеточный;профессиональный;500;1750;500;1750;1.3
Аккумуляторный шуруповерт DEKO DKCD16FU-Li (063-4098) [063-4098];146552;2289.0;16.0;32.0;10;25;1.38;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная PATRIOT BR 183 UES [180201483];145469;5290.0;18.0;29.0;8;20;2.0;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДАУ-13/18 ВК ударная без АКБ и ЗУ [573.0.0.70];171117;5590.0;18.0;45.0;;36;1.6;;Сверление/сверлениесударом;бесщеточный;профессиональный;400;1700;400;1700;1.5
Дрель-шуруповерт аккумуляторная DeWALT DCD 791 Р 3 A бесщеточная [DCD791P3A-QW];245271;52950.0;18.0;70.0;30;40;1.3;5.0;Сверление;бесщеточный;профессиональный;550;2000;550;2000;1.5
Аккумуляторная дрель-шуруповерт MAKITA DF332DWAE;112106;17990.0;12.0;35.0;10;21;1.0;2.0;Заворачиваниешурупов;бесщеточный;профессиональный;450;1500;450;1500;
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-18-2ЛК-У [75/14/6];160928;8790.0;18.0;50.0;12;30;1.3;2.0;Сверление/сверлениесударом;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD20FU-Li + набор инструментов 195 шт. (063-4135) [063-4135];169030;6444.0;20.0;42.0;10;28;4.37;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ZITREK Greenpower 20 Pro бесщеточная [063-4061];176450;4949.0;20.0;42.0;15;30;2.0;4.0;Сверление;бесщеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная PATRIOT BR 216 UES-h [180301565];213579;19990.0;21.0;60.0;8;20;2.0;4.0;Сверление/сверлениесударом;бесщеточный;бытовой;400;2100;400;2100;0.8
Аккумуляторная дрель-шуруповерт MAKITA DHP 453 RFE [DHP453RFE];89177;22489.0;18.0;42.0;13;36;1.9;3.0;Сверление;щеточный;профессиональный;400;1300;400;1300;1.5
Аккумуляторный шуруповерт PATRIOT BR 201 UES [180201201];145475;6690.0;20.0;30.0;;;;2.0;Сверление;щеточный;бытовой;;;;;0.8
Отвертка аккумуляторная MAKITA DF001DW;112105;5949.0;3.6;4.0;;;0.9;1.5;;щеточный;;;;;;
Аккумуляторный шуруповерт METABO PowerMaxx BS 12 BL 2х2.0 Ач, бесщеточная [601038500];134767;14306.0;12.0;45.0;10;25;1.0;2.0;Сверление;бесщеточный;;500;1650;500;1650;1.5
Дрель-шуруповерт PATRIOT BR 241 ES-h ударная [180201246];152208;7890.0;24.0;33.0;10;20;2.0;2.0;Сверление/сверлениесударом;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-18Л-2К/Б (бесщеточный двигатель) [72/14/22];158771;8490.0;18.0;45.0;12;30;1.3;2.0;Сверление;бесщеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная MAKITA HP 488 DWE [HP488DWE];196636;15460.0;18.0;42.0;13;36;1.5;1.5;Сверление/заворачивание/сверлениесударом;щеточный;профессиональный;400;1400;400;1400;1.3
Дрель-шуруповерт аккумуляторная BOSCH GSB 18 V-50 ударная, без АКБ и ЗУ [06019H5106];152390;8990.0;18.0;50.0;13;35;1.1;;Сверление/сверлениесударом;бесщеточный;;460;1800;460;1800;1.5
Аккумуляторная дрель-шуруповерт ВИХРЬ ДА-24Л-2К [72/14/18];135855;6741.0;24.0;55.0;12;30;1.35;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-12Л-2КА [72/14/26];158774;2754.0;12.0;25.0;10;20;1.0;1.5;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 SET5 + набор инструментов 92 шт. (063-4148) [063-4148];169037;4140.0;12.0;32.0;10;25;2.5;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная DEKO 12V набор 63 инструмента (063-4132) [063-4132];172898;3101.0;12.0;28.0;10;25;2.0;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/12В 36 КомбиМАКС бесщеточная 2 2ач, патрон св. [687.2.2.77];237954;7750.0;12.0;36.0;10;26;0.82;2.0;Сверление/заворачивание;бесщеточный;профессиональный;;;420;1500;
Аккумуляторный шуруповерт MAKITA DTD 153 ZJ ударный,бесщеточный, без АКБ и ЗУ [DTD153ZJ];112742;11653.0;18.0;170.0;;;1.3;;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;3400;;3400;;
Аккумуляторный шуруповерт PATRIOT BR 241 ES [180201241];152207;7490.0;24.0;33.0;10;20;2.0;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO Banger 12V SET 3 (063-4130) [063-4130];172900;2191.0;12.0;26.0;10;25;1.54;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная DEKO Sharker 20V 1*2.0Ah бесщеточная [063-4037];217128;5611.0;20.0;55.0;10;25;1.46;3.0;Сверление;бесщеточный;бытовой;450;1700;450;1700;0.8
Дрель-шуруповерт аккумуляторная MAKITA DTD157RTJ;231199;35960.0;18.0;140.0;;;1.4;;Сверление/сверлениесударом;бесщеточный;профессиональный;3000;;1300;;
Дрель-шуруповерт аккумуляторная ZITREK Greenpower 20 Pro 20в, li-ion аккумулятор, кейс, [063-4060];176451;4046.0;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная ZITREK Green Impact 18V 2x6.0 Ah ударная [063-4046];235262;9840.0;18.0;80.0;13;38;4.1;6.0;Сверление;бесщеточный;бытовой;750;1500;750;1500;1.5
Аккумуляторная отвертка ВИХРЬ ОА-3,6-К [72/14/10];104299;1490.0;3.6;3.5;;;0.6;1.3;;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 SET3 (063-4097) [063-4097];146556;2912.0;12.0;32.0;10;25;1.8;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 Li-Ion (063-4115) [063-4115];176539;3032.0;12.0;32.0;10;25;1.1;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Шуруповерт аккумуляторный MAKITA TD001GZ ударный без АКБ и ЗУ;183446;19290.0;40.0;220.0;;;1.7;4.0;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;1100;2100;1100;2100;
Дрель-шуруповерт аккумуляторная STURM CD3618;181943;8750.0;18.0;30.0;10;20;1.12;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА -13/18 ВК без АКБ и ЗУ [575.0.0.70];171097;5590.0;18.0;45.0;13;36;1.6;;Сверление/заворачивание;бесщеточный;профессиональный;400;1700;400;1700;1.5
Дрель-шуруповерт аккумуляторная СТАВР ДА-18ЛК [ст18лкда];211568;7560.0;18.0;38.0;12;30;1.3;2.0;Сверление/заворачивание;щеточный;;400;1450;400;1450;0.8
Дрель-шуруповерт аккумуляторная INGCO CIDLI20031 ударная;229879;9490.0;20.0;55.0;13;38;1.5;2.0;;щеточный;;450;1900;;;2.0
Аккумуляторный шуруповерт ВИХРЬ ДА-12Л-2 [72/14/14];129095;2790.0;12.0;30.0;10;20;0.96;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Аккумуляторный шуруповерт ВИХРЬ ДА-18Л-2 [72/14/16];129097;3790.0;18.0;45.0;12;30;1.3;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Аккумуляторная дрель-шуруповерт HYUNDAI A 2020Li;146648;8690.0;20.0;35.0;10;30;1.4;1.5;Сверление;щеточный;бытовой;350;1250;350;1250;1.0
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-12-2Л [75/14/1];152227;4090.0;12.0;40.0;10;20;0.96;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DEKO Banger 12v + набор инструмента 93 предмета, 2х2.0 (063-4168) [063-4168];172902;3700.0;12.0;26.0;10;25;2.4;2.0;Сверление;щеточный;бытовой;700;;700;;0.8
Дрель-шуруповерт аккумуляторная СТАВР ДА-24/2УК [ст24-2ук];211569;9140.0;24.0;44.0;14;36;1.4;2.0;Сверление/заворачивание/сверлениесударом;щеточный;;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная KOLNER KCD 12-2LC [кн12-2лц];216698;3820.0;12.0;17.0;;17;2.2;1.5;;щеточный;;400;1450;400;1450;
Дрель-шуруповерт аккумуляторная KOLNER KCD 16-2LC [кн16-2лц];216699;5770.0;16.0;19.0;12;18;2.2;2.0;;щеточный;;400;1450;400;1450;
Отвертка аккумуляторная INGCO CSDLI0403;229882;2290.0;4.0;4.0;;;0.3;1.5;;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/12В 36 КомбиМАКС бесщеточная 2 2ач, 4 насадки [687.2.2.79];237956;10490.0;12.0;36.0;10;26;0.82;2.0;Сверление/заворачивание;бесщеточный;профессиональный;;;420;1500;
Отвертка аккумуляторная DEKO DKS4-Li + набор бит (10 шт) [065-0662];235232;1510.0;3.6;1.3;;;0.24;1.3;;щеточный;;;;;;
Аккумуляторная дрель-шуруповерт MAKITA DF 333 DZ без АКБ и ЗУ [DF333DZ];134937;4248.0;10.8;30.0;10;21;1.1;;Сверление;щеточный;профессиональный;450;1700;450;1700;1.5
